Indication_ID,Indication_Name,Slug
1581,Recurrent miscarriage,recurrent-miscarriage-3241
1582,Recurrent renal stones,recurrent-renal-stones-3242
1583,Recurrent unipolar depression,recurrent-unipolar-depression-3243
1584,Recurrent UTI,recurrent-uti-3240
1585,Red eye,red-eye-3244
1586,Reduce peristalsis,reduce-peristalsis-4190
1587,Reduce risk of infertility,reduce-risk-of-infertility-3800
1588,Reduce the risk of getting HIV-1 infection,reduce-the-risk-of-getting-hiv-1-infection-3245
1589,Reduce the risk of preterm birth in women,reduce-the-risk-of-preterm-birth-in-women-4150
1590,Reducing cholesterol levels,reducing-cholesterol-levels-3246
1591,Reduction of raised intracranial pressure,reduction-of-raised-intracranial-pressure-3248
1592,Reduction of unwanted facial hair in women,reduction-of-unwanted-facial-hair-in-women-4145
1593,Reflux oesophagitis,reflux-oesophagitis-3249
1594,Refractive errors,refractive-errors-3250
1595,Refractory angina pectoris where nitrate therapy has failed,refractory-angina-pectoris-where-nitrate-therapy-has-failed-3653
1596,Regional anesthesia,regional-anesthesia-3251
1597,Relapsing fever and louse-borne typhus,relapsing-fever-and-louse-borne-typhus-3252
1598,Relieve pain,relieve-pain-3254
1599,Removal of earwax,removal-of-earwax-4095
1600,Removal of foreign bodies,removal-of-foreign-bodies-4002
1601,Removal of sutures,removal-of-sutures-4001
1602,Renal and urinary tract infections,renal-and-urinary-tract-infections-3255
1603,Renal angiomyolipoma,renal-angiomyolipoma-3256
1604,Renal cancers,renal-cancers-3257
1605,Renal cell carcinoma,renal-cell-carcinoma-3258
1606,Renal colic,renal-colic-3259
1607,Renal disease,renal-disease-3260
1608,Renal disease and vitamin B12 deficiency,renal-disease-and-vitamin-b12-deficiency-3261
1609,Renal function testing,renal-function-testing-3262
1610,Renal homotransplantation,renal-homotransplantation-3263
1611,Renal impairment,renal-impairment-3264
1612,Renal insufficiency,renal-insufficiency-3879
1613,Renal osteodystrophy,renal-osteodystrophy-3265
1614,Renal stone,renal-stone-3266
1615,Renal transplant,renal-transplant-3267
1616,Renal tubular acidosis,renal-tubular-acidosis-3268
